timestamp,open,high,low,close,volume
2020-01-01T00:00:00,1.100000,1.100190,1.099561,1.099683,764
2020-01-01T00:01:00,1.099683,1.102674,1.098598,1.101227,568
2020-01-01T00:02:00,1.101227,1.103797,1.100467,1.103197,527
2020-01-01T00:03:00,1.103197,1.104621,1.102350,1.103486,743
2020-01-01T00:04:00,1.103486,1.104605,1.101585,1.101856,838
2020-01-01T00:05:00,1.101856,1.106015,1.100496,1.104745,173
2020-01-01T00:06:00,1.104745,1.105700,1.102549,1.104100,354
2020-01-01T00:07:00,1.104100,1.109563,1.103454,1.108695,377
2020-01-01T00:08:00,1.108695,1.111666,1.108065,1.110430,559
2020-01-01T00:09:00,1.110430,1.112207,1.105299,1.107066,90
2020-01-01T00:10:00,1.107066,1.107735,1.101509,1.103123,601
2020-01-01T00:11:00,1.103123,1.103271,1.099758,1.100148,687
2020-01-01T00:12:00,1.100148,1.101301,1.099446,1.100400,113
2020-01-01T00:13:00,1.100400,1.102053,1.099573,1.101170,864
2020-01-01T00:14:00,1.101170,1.101965,1.099553,1.099771,969
2020-01-01T00:15:00,1.099771,1.101621,1.099384,1.101449,660
2020-01-01T00:16:00,1.101449,1.104711,1.100892,1.103142,957
2020-01-01T00:17:00,1.103142,1.105885,1.102057,1.104986,711
2020-01-01T00:18:00,1.104986,1.106674,1.101362,1.103285,834
2020-01-01T00:19:00,1.103285,1.105045,1.102487,1.104696,226
2020-01-01T00:20:00,1.104696,1.107884,1.104543,1.107140,521
2020-01-01T00:21:00,1.107140,1.109087,1.104145,1.105640,479
2020-01-01T00:22:00,1.105640,1.106871,1.105597,1.106396,774
2020-01-01T00:23:00,1.106396,1.108434,1.102449,1.103644,418
2020-01-01T00:24:00,1.103644,1.106541,1.097901,1.098728,783
2020-01-01T00:25:00,1.098728,1.101193,1.098574,1.100686,652
2020-01-01T00:26:00,1.100686,1.103874,1.099794,1.102468,620
2020-01-01T00:27:00,1.102468,1.103821,1.101197,1.101230,576
2020-01-01T00:28:00,1.101230,1.101573,1.100926,1.101445,559
2020-01-01T00:29:00,1.101445,1.101455,1.096289,1.098168,358
